model,dataset,experiment_name,perturbation,dose,DEGs,r2mean,r2mean_top20,r2mean_top100,r2mean_all_boostrap_mean,r2mean_top20_boostrap_mean,r2mean_top100_boostrap_mean,cell_type_test,average_mean_expressed_diff,average_fractions_diff,average_mean_degs20_diff,average_mean_degs100_diff,edistance,wasserstein,euclidean,mean_pairwise,mmd
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,0,0.931,0.955,0.901,0.9218908534233098,0.8934033232788419,0.9517044727706582,Portal Fibroblasts,0.84499425,0.7195851540616246,0.66759616,0.76772505,1.3700756814111743,0.9531642347140002,1.1705023,0.9776157,1.3700757836275903
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,9,0.964,0.947,0.958,0.9637574073527236,0.9653701870556162,0.9444755669505968,Endothelial Cells,0.9118667,0.7457782375738948,0.67794335,0.7932389,1.072264750635071,1.09256193974696,1.0355028,1.0342432,1.072264318154262
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,37,0.966,0.962,0.97,0.9655091889119176,0.9679855833923372,0.9597883680759636,Hepatocytes - central,0.8972189,0.6377048738262993,0.28147176,0.48253486,0.1735438259733329,0.4716019800018088,0.41658744,0.70431954,0.1735439940285136
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,14,0.914,0.895,0.935,0.91253036391951,0.8956346922447602,0.8512089692098551,Cholangiocytes,0.89085007,0.7194707604707073,0.37770277,0.6779946,0.5593222890635082,0.8454055449034342,0.74787873,0.9048112,0.5593222271112271
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,8,0.924,0.899,0.949,0.9225343107511116,0.9478637741279964,0.9002721523302983,Stellate Cells,0.8899926,0.722827485006015,0.68878436,0.7327503,1.947704938970396,1.266437025296933,1.3956025,1.0866805,1.9477050234718711
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,30.0,3,0.876,0.701,0.629,0.876068779637401,0.7076513561080486,0.6968648220631579,Stellate Cells,0.8384085,0.6920798647708925,0.7130629,0.6296232,1.437424504200596,1.327293044526068,1.1989263,1.1184613,1.4374244707106152
ScPreGanPipeline,PbmcSinglePipeline_PbmcPipeline,,ifn-b,-1.0,37,0.491,0.475,0.717,0.4908213970677735,0.7180381065722992,0.4903717010518311,CD4T,0.8829684,0.1542173079426377,0.37132367,0.66192263,0.7663906348337624,0.8457411201194035,0.8754375,0.9217568,0.7663908617946794
ScGenPipeline,PbmcSinglePipeline_PbmcPipeline,,ifn-b,-1.0,43,0.958,0.939,0.902,0.9575152602674564,0.8970348071578484,0.9381349381144036,Dendritic,0.9246867,0.7388126047270849,0.31945288,0.5350745,0.2412041226085086,0.740777847758004,0.4911256,0.90079945,0.2412041869588963
ScGenPipeline,PbmcSinglePipeline_PbmcPipeline,,ifn-b,-1.0,30,0.933,0.876,0.972,0.9339646172858536,0.9646438382843536,0.8868898168212966,CD4T,0.9506909,0.8058405057235447,0.3485626,0.675988,0.3731512894521044,0.707096570933488,0.6108608,0.8616767,0.37315135872841
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,1,0.925,0.933,0.974,0.9224204448530668,0.9715198205592934,0.9300817698934432,Portal Fibroblasts,0.8696484,0.7559852503544205,0.6799352,0.75124097,1.1439573929043465,0.9260188798592488,1.0695593,0.96891385,1.1439574614376524
VidrSinglePipeline,PbmcSinglePipeline_PbmcPipeline,,ifn-b,-1.0,36,0.972,0.955,0.982,0.9722720441190368,0.9833570097400416,0.9568494999124308,CD4T,0.953929,0.8053208294145353,0.5333127,0.74900126,0.4778236219731415,0.8510328693883575,0.69124776,0.927917,0.477823318328941
